City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
189,Madison,US,34.7334,-86.5667,61.95,95,100,6.91,overcast clouds
190,Portlethen,GB,57.0547,-2.1307,35.37,96,40,16.11,light snow
191,Strezhevoy,RU,60.7333,77.5889,-22.36,97,28,9.31,scattered clouds
192,Provideniya,RU,64.3833,-173.3,20.01,87,100,0.83,overcast clouds
193,Faya,SA,18.3851,42.4509,50.52,85,13,1.81,few clouds
194,Hervey Bay,AU,-25.2986,152.8535,74.39,73,100,14.32,overcast clouds
195,Zhuhai,CN,22.2769,113.5678,64.18,77,20,19.57,few clouds
196,Nikolskoye,RU,59.7035,30.7861,24.69,97,91,4.0,overcast clouds
197,Isla Vista,US,34.4133,-119.861,57.34,79,0,8.05,clear sky
198,Baoding,CN,38.8511,115.4903,34.56,17,0,11.18,clear sky
199,Bonfim,BR,3.0833,-59.95,77.27,80,51,5.88,broken clouds
200,Sept-Iles,CA,50.2001,-66.3821,12.06,62,0,7.0,clear sky
201,Karasjok,NO,69.4719,25.5112,1.09,93,31,6.91,scattered clouds
202,Yerbogachen,RU,61.2767,108.0108,-1.03,96,100,7.4,light snow
203,Sitka,US,57.0531,-135.33,33.69,86,75,3.44,light snow
204,Kiruna,SE,67.8557,20.2251,9.52,85,100,9.22,overcast clouds
205,Yakeshi,CN,49.2833,120.7333,-0.42,95,100,10.16,overcast clouds
206,Elk Point,US,42.6833,-96.6836,33.1,95,100,5.59,overcast clouds
207,Votkinsk,RU,57.0486,53.9872,15.78,86,100,12.15,light snow
208,Los Llanos De Aridane,ES,28.6585,-17.9182,66.13,95,0,7.0,clear sky
209,Antalaha,MG,-14.9003,50.2788,72.05,90,17,6.44,few clouds
210,Aiquile,BO,-18.2041,-65.1807,62.92,76,44,4.45,scattered clouds
211,Hofn,IS,64.2539,-15.2082,33.75,66,7,21.5,clear sky
212,Ilek,RU,51.5271,53.3831,7.7,82,27,6.6,scattered clouds
213,Coruripe,BR,-10.1256,-36.1756,77.63,86,97,13.96,overcast clouds
214,Lorengau,PG,-2.0226,147.2712,84.88,66,100,3.83,overcast clouds
215,Bethel,US,41.3712,-73.414,35.46,66,0,1.01,clear sky
216,Atar,MR,20.5169,-13.0499,77.95,26,7,5.66,clear sky
217,Baykit,RU,61.67,96.37,-6.29,100,100,0.54,overcast clouds
218,Arraial Do Cabo,BR,-22.9661,-42.0278,73.2,91,0,9.08,clear sky
219,Libreville,GA,0.3925,9.4537,79.03,82,36,2.75,light rain
220,Champerico,GT,14.3,-91.9167,79.38,74,0,4.45,clear sky
221,Chokurdakh,RU,70.6333,147.9167,-11.45,97,100,4.61,overcast clouds
222,Neftcala,AZ,39.3742,49.2472,43.48,87,100,13.18,light rain
223,Atambua,ID,-9.1061,124.8925,85.44,55,95,3.33,overcast clouds
224,Shirokiy,RU,49.758,129.523,-4.56,98,100,2.21,overcast clouds
225,Husavik,IS,66.0449,-17.3389,28.74,82,97,2.48,overcast clouds
226,Qasigiannguit,GL,68.8193,-51.1922,37.65,76,100,5.77,overcast clouds
227,Hanyang,CN,32.1371,105.5126,47.64,66,99,3.8,overcast clouds
228,Labuhan,ID,-6.8844,112.2051,83.64,66,26,6.69,light rain
229,Portland,US,45.5234,-122.6762,44.91,93,100,14.97,moderate rain
230,Mackay,AU,-21.15,149.2,85.68,69,94,8.88,overcast clouds
231,Vila Franca Do Campo,PT,37.7167,-25.4333,65.19,97,100,24.18,moderate rain
232,Itupeva,BR,-23.1531,-47.0578,74.93,73,0,10.36,clear sky
233,Garissa,KE,-0.4536,39.6401,76.98,78,84,3.33,broken clouds
234,Uspenka,UA,48.3903,39.1619,36.72,89,100,13.47,overcast clouds
235,Port Blair,IN,11.6667,92.75,80.64,83,75,0.0,broken clouds
236,Ganzhou,CN,28.8184,115.4327,54.77,62,0,4.36,clear sky
237,Iranshahr,IR,27.2025,60.6848,57.45,46,29,2.93,scattered clouds
238,Chernyshevskiy,RU,63.0128,112.4714,-15.25,99,100,1.86,overcast clouds
239,Tezu,IN,27.9167,96.1667,67.77,41,1,0.63,clear sky
240,Ilulissat,GL,69.2167,-51.1,37.42,41,75,20.71,broken clouds
241,North Platte,US,41.1239,-100.7654,35.38,67,0,10.0,clear sky
242,Hambantota,LK,6.1241,81.1185,77.09,88,99,13.71,overcast clouds
243,Ambon,ID,-3.6954,128.1814,86.14,70,40,4.61,scattered clouds
244,Aykhal,RU,66.0,111.5,-27.0,100,100,6.6,overcast clouds
245,Marion,US,39.7684,-86.1555,46.78,95,100,4.61,mist
246,Fomboni,KM,-12.28,43.7425,81.27,70,6,3.85,clear sky
247,Marsaxlokk,MT,35.8419,14.5431,70.09,88,0,11.5,clear sky
248,Guerrero Negro,MX,27.9769,-114.0611,59.83,66,1,13.09,clear sky
249,Upernavik,GL,72.7868,-56.1549,34.05,69,100,29.95,overcast clouds
250,Victor Harbor,AU,-35.5667,138.6167,90.68,57,86,3.6,overcast clouds
251,Evensk,RU,61.95,159.2333,8.31,92,100,7.4,overcast clouds
252,Sangar,RU,63.9242,127.4739,-22.7,90,100,8.81,overcast clouds
253,Mapiripan,CO,2.8892,-72.1256,73.22,87,72,4.05,broken clouds
254,Katsuura,JP,35.1333,140.3,55.8,56,65,7.16,broken clouds
255,Taoudenni,ML,22.6783,-3.9836,74.05,17,26,5.3,scattered clouds
256,Ugoofaaru,MV,5.6667,73.0,80.74,77,100,16.75,light rain
257,Olinda,BR,-8.0089,-34.8553,80.33,78,40,5.75,scattered clouds
258,Xiaoshi,CN,41.2971,124.1209,24.33,42,93,4.47,overcast clouds
259,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,95.65,32,97,12.53,overcast clouds
260,Omboue,GA,-1.5746,9.2618,76.96,88,94,5.91,overcast clouds
261,Muros,ES,42.7762,-9.0603,49.08,74,3,12.59,clear sky
262,Hami,CN,42.8,93.45,24.17,42,99,6.31,overcast clouds
263,Saint-Joseph,RE,-21.3667,55.6167,75.58,84,7,9.8,clear sky
264,Leningradskiy,RU,69.3833,178.4167,-6.38,91,99,2.33,overcast clouds
265,Cabo San Lucas,MX,22.8909,-109.9124,73.71,73,0,3.44,clear sky
266,Fonte Boa,BR,-2.4959,-66.2662,75.34,93,100,3.06,overcast clouds
267,Mar Del Plata,AR,-38.0023,-57.5575,65.08,74,0,6.91,clear sky
268,Sapele,NG,5.8941,5.6767,75.63,88,5,2.21,clear sky
269,San Cristobal,VE,7.7669,-72.225,66.38,94,61,1.32,broken clouds
270,Gizo,SB,-8.103,156.8419,83.95,72,99,5.75,light rain
271,Umea,SE,63.8284,20.2597,21.13,86,75,10.36,snow
272,Itarema,BR,-2.9248,-39.9167,79.05,80,7,13.91,clear sky
273,Buin,CL,-33.7333,-70.75,77.43,50,72,1.61,broken clouds
274,Riyadh,SA,24.6877,46.7219,51.94,72,98,9.73,moderate rain
275,Quepos,CR,9.4236,-84.1652,75.42,86,28,2.73,scattered clouds
276,Epe,NG,6.5841,3.9834,76.28,90,0,1.57,clear sky
277,Porto Novo,BJ,6.4965,2.6036,77.54,85,0,3.22,clear sky
278,Constitucion,CL,-35.3333,-72.4167,58.46,88,21,10.38,few clouds
279,Ancud,CL,-41.8697,-73.8203,54.07,91,55,5.88,broken clouds
280,Puerto Escondido,MX,15.85,-97.0667,76.32,73,0,4.12,clear sky
281,Qaqortoq,GL,60.7167,-46.0333,14.76,72,0,7.49,clear sky
282,Atikokan,CA,48.7555,-91.6216,22.64,93,50,8.61,scattered clouds
283,Clyde River,CA,70.4692,-68.5914,-3.03,77,100,4.23,overcast clouds
284,Grand Gaube,MU,-20.0064,57.6608,77.38,74,25,5.99,light rain
285,Karla,EE,59.3723,24.9275,24.51,89,20,9.22,few clouds
